cart_velocity,pole_angular_velocity,pole_angle,motor_command
474.17087,2.0111794,2.2430937,-0.55842876
465.56116,2.0588486,2.277408,-0.55842876
456.95145,2.1020422,2.3124418,-0.55842876
448.34174,2.1404812,2.3481164,-0.55842876
439.73203,2.1741157,2.3843517,-0.55842876
431.1223,2.202869,2.4210663,-0.55842876
422.5126,2.2266972,2.4581778,-0.55842876
413.9029,2.2453759,2.4956007,-0.55842876
405.29318,2.258932,2.5332496,-0.55842876
396.68347,2.267307,2.571038,-0.55842876
388.07376,2.2706127,2.6088815,-0.55842876
379.46405,2.2686317,2.646692,-0.40492177
374.07425,2.2826946,2.684737,-0.40492177
368.68445,2.2918785,2.722935,-0.40492177
363.29465,2.2961726,2.7612045,-0.40492177
357.90485,2.295569,2.799464,-0.40492177
352.51505,2.2900624,2.8376317,-0.40492177
347.12524,2.2797086,2.8756268,-0.7464144
334.92416,2.215395,2.91255,-0.7464144
322.72308,2.146229,2.9483204,-0.7464144
310.522,2.072487,2.9828618,-0.7464144
298.32092,1.9944025,3.0161018,-0.7464144
286.11984,1.9122492,3.0479727,-0.7464144
273.91876,1.8263857,3.0784125,-0.7464144
261.71768,1.7368603,3.1073601,0.064973116
261.83597,1.7361773,3.1362965,0.064973116
261.95425,1.7318766,-3.118024,0.064973116
262.07254,1.7240373,-3.0892901,0.064973116
262.19083,1.7126876,-3.0607452,0.064973116
262.3091,1.6978924,-3.032447,0.064973116
262.4274,1.6797059,-3.004452,0.064973116
262.5457,1.6581717,-2.9768157,0.064973116
262.66397,1.6333867,-2.9495926,0.064973116
262.78226,1.6054575,-2.9228349,-0.086574614
262.78226,1.5735976,-2.8966084,-0.086574614
262.78226,1.5387523,-2.8709624,-0.086574614
262.78226,1.5010495,-2.845945,-0.086574614
262.78226,1.4605799,-2.8216019,-0.086574614
262.78226,1.4174802,-2.7979772,-0.086574614
262.78226,1.3718696,-2.7751126,-0.086574614
262.78226,1.3238716,-2.7530482,-0.086574614
262.78226,1.2735904,-2.7318218,-0.086574614
262.78226,1.2211717,-2.711469,-0.086574614
262.78226,1.1667432,-2.6920233,0.53445697
273.7463,1.184341,-2.6722844,0.53445697
284.71036,1.198938,-2.652302,0.53445697
295.6744,1.2106949,-2.6321237,0.53445697
306.63846,1.2193695,-2.611801,0.53445697
317.6025,1.2251898,-2.591381,0.53445697
328.56656,1.227933,-2.5709155,0.53445697
339.5306,1.2278172,-2.5504518,0.53445697
350.49466,1.2246405,-2.530041,0.055964112
350.49466,1.1514429,-2.5108502,0.055964112
350.49466,1.0767118,-2.492905,0.055964112
350.49466,1.0005811,-2.4762285,0.055964112
350.49466,0.9232213,-2.4608414,0.055964112
350.49466,0.84479773,-2.4467614,0.055964112
350.49466,0.76542944,-2.4340043,0.055964112
350.49466,0.68527555,-2.422583,0.055964112
350.49466,0.6044528,-2.412509,-0.35674447
346.2052,0.49917847,-2.4041893,-0.35674447
341.91574,0.39383084,-2.3976254,-0.35674447
-70.20088,0,-0.008726646,0.49591625
-69.19175,-0.22785282,-0.6991681,0.49591625
