episode_id,step,cart_velocity,pole_angular_velocity,pole_angle,cart_position,motor_command,reward,done
3,31,0.09184229,-0.033941336,-0.026630612,0.093368165,-0.4200344328,-0.022878371,0
3,32,0.082107976,-0.032222368,-0.028371803,0.09473657,-0.4278067882,-0.02281495,0
3,33,0.07203577,-0.030511225,-0.03012814,0.09593713,-0.435760641,-0.02287,0
3,34,0.06161364,-0.028800458,-0.031906445,0.09696399,-0.443922873,-0.023043137,0
3,35,0.050828125,-0.027088767,-0.03371351,0.097811155,-0.45235082900000007,-0.023339324,0
3,36,0.03966288,-0.02536726,-0.03555571,0.09847217,-0.461059974,-0.023760602,0
3,37,0.028100459,-0.02363914,-0.03743967,0.09894055,-0.47012859800000006,-0.024317218,0
3,38,0.016119367,-0.021893023,-0.039371535,0.09920923,-0.479557544,-0.02501333,0
3,39,0.0036975108,-0.02012799,-0.041357525,0.09927087,-0.489400685,-0.025860127,0
3,40,-0.00919034,-0.018337753,-0.043403693,0.099117674,-0.4996834792,-0.026868049,0
3,41,-0.022571338,-0.016519599,-0.045516185,0.09874146,-0.510450134,-0.028050996,0
3,42,-0.036475543,-0.014668706,-0.04770102,0.09813354,-0.521733118,-0.029423978,0
3,43,-0.050935484,-0.012779492,-0.04996429,0.09728467,-0.533561786,-0.031004086,0
3,44,-0.06598613,-0.010845119,-0.052311923,0.09618494,-0.5459576712,-0.03281048,0
3,45,-0.081664555,-0.008860087,-0.05474987,0.09482385,-0.558949213,-0.03486541,0
3,46,-0.09801045,-0.0068215816,-0.05728426,0.093190305,-0.572579952,-0.03719453,0
3,47,-0.11506698,-0.0047272956,-0.059921443,0.091272585,-0.5868980422,-0.039826415,0
3,48,-0.13288122,-0.002563887,-0.06266756,0.08905786,-0.601894499,-0.042791523,0
3,49,-0.15150127,-0.00033413852,-0.06552914,0.08653284,-0.6176446086,-0.04612584,0
3,50,-0.17098087,0.0019708215,-0.06851288,0.0836831,-0.6341669645,-0.04986834,0
3,51,-0.19137655,0.004350948,-0.07162587,0.08049353,-0.6515284379999999,-0.05406261,0
3,52,-0.21275051,0.00681848,-0.07487511,0.07694763,-0.669733634,-0.05875717,0
3,53,-0.23516724,0.009368717,-0.07826836,0.0730282,-0.688878999,-0.06400485,0
3,54,-0.2586991,0.012009835,-0.08181362,0.068716556,-0.7089988530000001,-0.06986523,0
3,55,-0.28342298,0.014743054,-0.08551952,0.0639928,-0.7301682180000001,-0.07640335,0
3,56,-0.309423,0.017568817,-0.089395404,0.058835693,-0.7524727126,-0.08369078,0
3,57,-0.33679155,0.020486044,-0.093451455,0.053222533,-0.776013457,-0.09180607,0
3,58,-0.36563072,0.02350099,-0.09769831,0.047128662,-0.800859164,-0.100838505,0
3,59,-0.3960508,0.026604373,-0.10214816,0.04052783,-0.827170839,-0.110881075,0
3,60,-0.42817682,0.02979659,-0.1068141,0.033391602,-0.85506959,-0.122040674,0
3,61,-0.4621467,0.0330717,-0.11171073,0.025689209,-0.884722362,-0.13443297,0
3,62,-0.4981152,0.036421776,-0.11685433,0.017387329,-0.9163218220000001,-0.14818545,0
3,63,-0.5362569,0.03983497,-0.122263096,0.008449707,-0.9500982524,-0.16343741,0
