iter,avg_reward,avg_len,episodes,std,loss
355,2566.3899,2992.42,24,0.2873,24.6870
356,2603.3125,2969.17,18,0.2872,20.9722
357,2547.3603,3000.00,23,0.2864,22.8228
358,2535.9865,2932.28,25,0.2860,23.0323
359,2674.0314,2970.75,20,0.2857,21.4965
360,2622.6559,3000.00,23,0.2854,20.3905
361,2339.2023,2805.19,26,0.2855,23.0003
362,2554.3364,3000.00,18,0.2849,22.7546
363,2340.1036,3000.00,21,0.2839,20.0788
364,2432.1303,2903.12,26,0.2836,18.8269
365,2464.5220,2862.80,20,0.2832,22.4596
366,2501.9458,2982.52,21,0.2830,21.7319
367,2452.7367,2929.31,26,0.2827,22.1465
368,2515.0920,3000.00,21,0.2829,20.6453
369,2350.7851,2790.95,20,0.2829,21.2527
370,2550.3912,3000.00,26,0.2825,22.0650
371,2573.7247,3000.00,19,0.2821,21.5445
372,2507.6000,2886.17,23,0.2822,25.4223
373,2596.4383,2905.56,25,0.2823,21.0754
374,2376.6920,2919.57,21,0.2821,21.5071
375,2483.5436,3000.00,21,0.2817,19.5951
376,2609.6048,3000.00,24,0.2816,21.2157
377,2419.1228,2983.63,19,0.2822,20.8388
378,2421.0996,2891.14,22,0.2823,20.2921
379,2471.3127,2922.67,27,0.2821,24.4887
380,2466.7273,2761.30,20,0.2819,23.2794
381,2514.9064,2976.27,22,0.2813,21.1658
382,2279.8399,2759.11,28,0.2805,23.4310
383,2421.8332,2843.28,18,0.2798,23.8048
384,2319.9600,2776.86,21,0.2792,23.1927
385,2458.8824,2934.14,29,0.2787,20.3928
386,2466.5807,2986.65,17,0.2780,24.5415
387,2503.5951,2987.88,25,0.2773,22.1001
388,2600.2485,2984.30,23,0.2765,18.2138
389,2458.8711,2882.20,20,0.2764,23.1731
390,2378.1345,2939.25,24,0.2763,20.9752
391,2481.4260,2940.77,26,0.2765,20.6135
392,2530.6606,3000.00,16,0.2762,23.8319
393,2381.7820,2901.24,25,0.2756,22.5465
394,2429.4229,2927.00,26,0.2758,21.6534
395,2154.6396,2598.83,18,0.2757,23.9615
396,2364.1480,2880.54,28,0.2748,24.7132
397,2393.8386,2827.95,22,0.2745,25.1035
398,2422.0641,2904.94,18,0.2740,21.3938
